lat,lon,d,v,s,h
48.50104,-102.91017,1,0,0,0
48.47215,-102.88857,1,0,0,0
48.29675,-102.92832,1,0,0,0
48.50472,-102.87262,1,0,0,0
48.28226,-102.93918,1,0,0,0
48.28229,-102.98178,1,0,0,0
48.30754,-102.93375,1,0,0,0
48.32573,-102.89054,1,0,0,0
48.45401,-102.88314,1,0,0,0
48.35114,-102.89071,1,0,0,0
48.25336,-102.97097,1,0,0,0
48.27504,-102.95514,1,0,0,0
48.26779,-102.9446,1,0,0,0
48.31122,-102.95979,1,0,0,0
48.98285,-100.90977,1,0,0,0
48.51943,-102.90431,1,0,0,0
48.52644,-102.94288,1,0,0,0
48.51921,-102.86164,1,0,0,0
48.48665,-102.88859,1,0,0,0
48.26781,-102.99239,1,0,0,0
48.47216,-102.91027,1,0,0,0
48.25688,-102.95504,1,0,0,0
48.50071,-102.79082,1,0,0,0
48.51923,-102.87254,1,0,0,0
48.52284,-102.87757,1,0,0,0
48.9572,-100.87091,1,0,0,0
48.49742,-102.90469,1,0,0,0
48.34028,-102.89607,1,0,0,0
48.35114,-102.90157,1,0,0,0
48.29676,-102.97075,1,0,0,0
48.44321,-102.86693,1,0,0,0
48.95708,-100.7778,1,0,0,0
48.91713,-101.07401,1,0,0,0
48.33673,-102.85805,1,0,0,0
48.4939,-102.87769,1,0,0,0
48.31119,-102.94893,1,0,0,0
48.49388,-102.88859,1,0,0,0
48.49027,-102.89403,1,0,0,0
48.32208,-102.94467,1,0,0,0
48.25027,-102.98771,1,0,0,0
48.45813,-102.91017,1,0,0,0
48.3776,-102.91008,1,0,0,0
48.32209,-102.95497,1,0,0,0
48.47938,-102.89936,1,0,0,0
48.43954,-102.92647,1,0,0,0
48.28224,-102.99236,1,0,0,0
48.47215,-102.89939,1,0,0,0
48.49028,-102.90481,1,0,0,0
48.92471,-100.99695,1,0,0,0
48.46857,-102.9157,1,0,0,0
48.48324,-102.89402,1,0,0,0
48.26416,-102.99784,1,0,0,0
48.3148,-102.94462,1,0,0,0
48.33293,-102.93932,1,0,0,0
48.51917,-102.88328,1,0,0,0
48.47942,-102.87806,1,0,0,0
48.28665,-102.93918,1,0,0,0
48.99,-100.83825,1,0,0,0
48.49227,-100.26315,1,0,0,0
48.1701,-102.9065,1,0,0,0
48.50466,-102.89387,1,0,0,0
47.73013,-102.83619,1,0,0,0
48.52643,-102.86164,1,0,0,0
48.53001,-102.87803,1,0,0,0
47.777,-102.94955,1,0,0,0
48.24966,-102.9446,1,0,0,0
48.50833,-102.878,1,0,0,0
48.0689,-102.9011,1,0,0,0
48.54817,-102.86719,1,0,0,0
48.50473,-102.86172,1,0,0,0
48.99359,-100.80547,1,0,0,0
48.88449,-100.88739,1,0,0,0
48.31478,-102.93376,1,0,0,0
