GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1007892.0,110017395870,2023.0,PALMETTO LANDFILL AND RECYCLING CENTER,251 NEW HOPE ROAD,WELLFORD,SC,29385,SPARTANBURG COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007893.0,110030746977,2023.0,MESQUITE CREEK LANDFILL,1000 KOHLENBERG RD,NEW BRAUNFELS,TX,78130,COMAL COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007894.0,110034164222,2023.0,WASTE MANAGEMENT OF TEXAS AUSTIN COMMUNITY RECYCLING & DISPOSAL FACILITY,9900 GILES RD,AUSTIN,TX,78754,TRAVIS COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007895.0,110021146188,2023.0,Security Recycling and Disposal Facility,19248 Highway 105,Cleveland,TX,77327,MONTGOMERY COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007896.0,110027990057,2023.0,TWO PINE LANDFILL,100 TWO PINE DRIVE,JACKSONVILLE,AR,72076,PULASKI COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007897.0,110002376919,2023.0,TRAIL RIDGE LANDFILL INC,5110 U.S. HIGHWAY 301,BALDWIN,FL,32234,DUVAL COUNTY,CITY OF JACKSONVILLE,214 N. HOGAN STREET,JACKSONVILLE,FL,32202,100.0,562212
1007898.0,110002434740,2023.0,SPRINGHILL REGIONAL LANDFILL,4945 Hwy 273,CAMPBELLTON,FL,32426,JACKSON COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007899.0,110071159571,2023.0,CHESSER ISLAND ROAD LANDFILL,,FOLKSTON,GA,31537,CHARLTON COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007901.0,110003227696,2023.0,OUTER LOOP RECYCLING & DISPOSA,2673 OUTER LOOP ROAD,LOUISVILLE,KY,40219,JEFFERSON COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007902.0,110013857807,2023.0,CUYAHOGA REGIONAL SANITARY LANDFILL,28625 AMBINA DRIVE,SOLON,OH,44139,CUYAHOGA COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007903.0,110071160975,2023.0,Velma Gas Plant,,VELMA,OK,73491,STEPHENS COUNTY,TARGA RESOURCES CORP,"811 Louisiana Street, Suite 2100",Houston,TX,77002,100.0,211130
1007904.0,110071161729,2023.0,GUARDIAN INDUSTRIES LLC - KINGSBURG,11535 EAST MOUNTAINVIEW AVENUE,KINGSBURG,CA,93631,TULARE COUNTY,KOCH INDUSTRIES INC,4111 E 37Th Street North,Wichita,KS,67220-3298,100.0,327211
1007907.0,110001743695,2023.0,WASTE MGMT OF CO INC County Line,4200 E COUNTY LINE RD,LITTLETON,CO,80126,DOUGLAS COUNTY,WASTE MANAGEMENT INC,"800 Capitol, Suite 3000",Houston,TX,77002,100.0,562212
1007909.0,110071159551,2023.0,Indorama Ventures Oxides LLC,6001 Highway 366,PORT NECHES,TX,77651,JEFFERSON COUNTY,INDORAMA VENTURES USA HOLDINGS LP,"2610 Lake Cook Road, Suite 133",Riverwoods,IL,60015,100.0,325110
1007910.0,110066900759,2023.0,FORT CARSON USARMY,"1626 Evans Street, Bldg 1219",Fort Carson,CO,80913,EL PASO COUNTY,US GOVERNMENT,,,,,,928110
1007912.0,110070828183,2023.0,International Paper - Georgetown Mill,700 S. KAMINSKI ST.,GEORGETOWN,SC,29440,GEORGETOWN COUNTY,INTERNATIONAL PAPER CO,6400 Poplar Avenue,Memphis,TN,38197,100.0,322120
1007913.0,110008361263,2023.0,"Catlettsburg Refining, LLC",11631 US Route 23,Catlettsburg,KY,41129,BOYD COUNTY,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,100.0,324110
1007914.0,110071046304,2023.0,COVANTA HONOLULU RESOURCE RECOVERY VENTURE (H-POWER),91-174 HANUA ST,KAPOLEI,HI,96707,HONOLULU COUNTY,CITY & COUNTY OF HONOLULU HAWAII,1000 Uluohia Street,Kapolei,HI,96707,100.0,562213
